key_words,key_values
definitely soured,0.09
disappointing person,0.09
recommend place,0.09
quality gone,0.09
recently gone,0.09
hotter enjoy,0.09
quietly cakei,0.09
rain bought,0.09
raining very,0.09
hot even,0.09
rainy day,0.09
kinda hard,0.09
rather mandro,0.09
reason giving,0.09
kept saying,0.09
host asked,0.09
host lack,0.09
really offering,0.09
host not,0.09
really craving,0.09
delivered dessert,0.09
know expensive,0.09
dessert first,0.09
really wanted,0.09
dessert not,0.09
dessert policy,0.09
dessert refused,0.09
dessert sooo,0.09
really annoyed,0.09
really triggered,0.09
refused meet,0.09
dismisses turn,0.09
definitely pick,0.09
pretentious immediately,0.09
response sit,0.09
interior one,0.09
restroom since,0.09
interior face,0.09
return change,0.09
pretty disappointing,0.09
return correct,0.09
pouring rain,0.09
interested customer,0.09
instead topping,0.09
instagram picsmightttt,0.09
lack customer,0.09
hit last,0.09
decided see,0.09
hipster vibe,0.09
respect policy,0.09
down hallway,0.09
item pricey,0.09
regular shop,0.09
profitswe group,0.09
regular size,0.09
irritating respect,0.09
into weaver,0.09
price recently,0.09
reservation not,0.09
pricey amount,0.09
price seem,0.09
doughnutssweets not,0.09
into gym,0.09
intimidating welcome,0.09
down bit,0.09
pricey taste,0.09
instead rainy,0.09
getting new,0.09
left review,0.09
gone up,0.09
not only,0.09
gone sometimes,0.09
not oat,0.09
gone shop,0.09
not guarantee,0.09
not greet,0.09
not definitely,0.09
gone not,0.09
not anything,0.09
not always,0.09
gone down,0.09
normal conversation,0.09
nondairy option,0.09
found going,0.09
night pouring,0.09
menu item,0.09
not order,0.09
foam peak,0.09
good another,0.09
not said,0.09
nothing happened,0.09
nothing come,0.09
marthas coffeemochas,0.09
marthas despise,0.09
fine stomach,0.09
not work,0.09
may map,0.09
maybe finally,0.09
nice taste,0.09
not waited,0.09
said policy,0.09
fixated selling,0.09
not using,0.09
meet middle,0.09
not think,0.09
memo instruction,0.09
not taking,0.09
mentioned cake,0.09
first not,0.09
nothing kept,0.09
free milk,0.09
going brunch,0.09
milk never,0.09
milk oat,0.09
get back,0.09
milk spice,0.09
get bathroom,0.09
milk think,0.09
minute end,0.09
get highly,0.09
get larger,0.09
get mocha,0.09
get refill,0.09
get restroom,0.09
mocha oat,0.09
mocha dairy,0.09
mirror get,0.09
minute took,0.09
get treated,0.09
milk hit,0.09
milk favorite,0.09
giving attitude,0.09
gave bill,0.09
nice classic,0.09
fresh since,0.09
nice bingsoo,0.09
friend celebrating,0.09
next head,0.09
new worker,0.09
friendly said,0.09
neighborhood not,0.09
going corner,0.09
negotiation turned,0.09
middle empathy,0.09
music obnoxiously,0.09
future patron,0.09
much drink,0.09
mostly like,0.09
milk additional,0.09
milk alternative,0.09
giving one,0.09
negotiation really,0.09
marthas always,0.09
market load,0.09
find place,0.09
even look,0.09
even said,0.09
like oat,0.09
over marthas,0.09
over asks,0.09
outside want,0.09
outlet music,0.09
ourselvestwo casually,0.09
guarantee chocolate,0.09
ordered hot,0.09
group shot,0.09
order said,0.09
excited not,0.09
group friend,0.09
like people,0.09
like please,0.09
expensive within,0.09
get water,0.09
even accommodated,0.09
european shop,0.09
owner response,0.09
happened went,0.09
let least,0.09
handed bill,0.09
hand return,0.09
peak instead,0.09
payingthe menu,0.09
empathy really,0.09
patron may,0.09
greet even,0.09
empty table,0.09
end up,0.09
energy outlet,0.09
halfway dessert,0.09
enjoy tasted,0.09
pas duck,0.09
like get,0.09
gym next,0.09
espresso maybe,0.09
hallway mirror,0.09
experience hereit,0.09
experience pretty,0.09
order delivered,0.09
felt pretentious,0.09
one graduation,0.09
loud hard,0.09
few minute,0.09
okay nothing,0.09
oh gave,0.09
offering anything,0.09
loudly going,0.09
graduation last,0.09
offered soy,0.09
finally turned,0.09
good very,0.09
obnoxiously loud,0.09
lowkey not,0.09
make sense,0.09
making profitswe,0.09
mandro bingsoo,0.09
map voice,0.09
love interior,0.09
people simple,0.09
one large,0.09
lot regular,0.09
like warm,0.09
order cashier,0.09
like working,0.09
option barista,0.09
limited amount,0.09
listed anywhere,0.09
load peoplewatchingthe,0.09
eyeroll interior,0.09
one star,0.09
face toward,0.09
look phone,0.09
lot empty,0.09
only rule,0.09
fancy cake,0.09
fast back,0.09
only come,0.09
oneway negotiation,0.09
favorite not,0.09
look good,0.09
owner place,0.09
immediately ducked,0.09
bit come,0.09
soured experience,0.09
soy almond,0.09
told wait,0.09
want cake,0.09
time excited,0.09
turned around,0.09
walk down,0.09
turned oneway,0.09
chocolate really,0.09
spice top,0.09
waiting take,0.09
table limited,0.09
thinking much,0.09
want duck,0.09
spiced sweet,0.09
chocolate instead,0.09
waited sign,0.09
waited nothing,0.09
best idea,0.09
chocolate asked,0.09
wait uhh,0.09
wait seated,0.09
wait minute,0.09
around casually,0.09
table host,0.09
star feel,0.09
together went,0.09
business said,0.09
spot cannot,0.09
voice memo,0.09
classic eyeroll,0.09
anywhere even,0.09
annoyed whatever,0.09
size still,0.09
skill completely,0.09
bill hand,0.09
slightly warm,0.09
taking photo,0.09
weaver latte,0.09
small hot,0.09
brunch date,0.09
small think,0.09
triggered left,0.09
another thing,0.09
code think,0.09
wanted cake,0.09
water halfway,0.09
turn around,0.09
coconut milk,0.09
warm really,0.09
warm milk,0.09
anything really,0.09
something like,0.09
anything think,0.09
anyways definitely,0.09
sometimes barista,0.09
building suppose,0.09
take order,0.09
sooo nice,0.09
time first,0.09
trying find,0.09
welcome waiting,0.09
around took,0.09
two share,0.09
cashier took,0.09
up well,0.09
street felt,0.09
up seating,0.09
cake trying,0.09
up host,0.09
back bit,0.09
back cup,0.09
study chai,0.09
cakei nothing,0.09
unless really,0.09
super interested,0.09
bingsoo pretty,0.09
upstairs walk,0.09
uninterested intimidating,0.09
care health,0.09
care customer,0.09
suppose make,0.09
came hotter,0.09
bill return,0.09
supposed seat,0.09
sure fast,0.09
sure good,0.09
sweet came,0.09
back not,0.09
back price,0.09
uhh already,0.09
cannot beati,0.09
bill dismisses,0.09
being lowkey,0.09
casually mentioned,0.09
celebrating one,0.09
busy when,0.09
swirly foam,0.09
vibe shop,0.09
very spiced,0.09
change sincerity,0.09
asked nondairy,0.09
asked supposed,0.09
change corrected,0.09
very rude,0.09
steaming hot,0.09
very heavily,0.09
chai very,0.09
bit always,0.09
casually talking,0.09
buying dessert,0.09
cake decided,0.09
asks reservation,0.09
still traditional,0.09
cake owner,0.09
very fresh,0.09
cake raining,0.09
chai chai,0.09
very aesthetic,0.09
centsthere wifi,0.09
attitude told,0.09
being rigid,0.09
stomach hot,0.09
using plate,0.09
chai tea,0.09
size price,0.09
been improved,0.09
talking coworkers,0.09
bathroom pas,0.09
seating people,0.09
thing been,0.09
cream small,0.09
additional centsthere,0.09
craving mocha,0.09
based making,0.09
crappy marthas,0.09
without thinking,0.09
see lot,0.09
coworkers few,0.09
thatll handed,0.09
see room,0.09
within neighborhood,0.09
aesthetic instagram,0.09
seem pricey,0.09
seemed uninterested,0.09
sell dessert,0.09
selling dessert,0.09
wish came,0.09
sense future,0.09
corrected say,0.09
correct amount,0.09
based health,0.09
corner quietly,0.09
bought fancy,0.09
situation kinda,0.09
service buying,0.09
wifi plenty,0.09
think being,0.09
cool hipster,0.09
think care,0.09
seating anyways,0.09
said thatll,0.09
think service,0.09
said wait,0.09
beati ordered,0.09
accommodated swirly,0.09
accommodating very,0.09
customer only,0.09
across street,0.09
customer get,0.09
though companion,0.09
top ambianceservicedespite,0.09
think quality,0.09
think let,0.09
working people,0.09
cup unless,0.09
think hippie,0.09
say oh,0.09
saying sell,0.09
topping whipped,0.09
seat very,0.09
bathroom situation,0.09
worker seemed,0.09
worker like,0.09
time really,0.09
work though,0.09
work love,0.09
seated lot,0.09
seated ourselvestwo,0.09
think drink,0.09
work customer,0.09
tea okay,0.09
came slightly,0.09
whipped cream,0.09
whatever get,0.09
barista accommodating,0.09
almond coconut,0.09
companion get,0.09
community table,0.09
went without,0.09
taste very,0.09
treated rather,0.09
went up,0.09
sign listed,0.09
sign said,0.09
taste look,0.09
ambianceservicedespite cool,0.09
took group,0.09
tried doughnutssweets,0.09
well know,0.09
amount change,0.09
took bill,0.09
come steaming,0.09
amount energy,0.09
amount get,0.09
come over,0.09
since think,0.09
since two,0.09
talking loudly,0.09
sincerity nice,0.09
sit outside,0.09
traditional regular,0.09
shop worker,0.09
tasted mostly,0.09
always see,0.09
share building,0.09
shop crappy,0.09
shop feel,0.09
toward market,0.09
shop few,0.09
totally fine,0.09
alternative totally,0.09
service skill,0.09
time gone,0.09
completely ruined,0.09
conversation study,0.09
already not,0.09
always busy,0.09
service industry,0.09
when gone,0.09
shop over,0.09
barista nice,0.09
not feel,0.095
when went,0.095
never tried,0.095
really wish,0.095
shot espresso,0.095
not super,0.09999999999999999
bean tasted,0.1
mocha turned,0.1
backthe first,0.1
burnt beyond,0.1
tasted burnt,0.1
ferry plaza,0.1
nothing memorablei,0.1
been disappointed,0.1
offering wifi,0.1
not offering,0.1
get hint,0.1
only instance,0.1
feel product,0.1
turned yet,0.1
turn not,0.1
farmer market,0.1
two year,0.1
extremely dire,0.1
okay time,0.1
like returning,0.1
doubt return,0.1
frequented three,0.1
highly doubt,0.1
whatsoever took,0.1
dire highly,0.1
went year,0.1
disappointed three,0.1
shot ordered,0.1
hint whatsoever,0.1
latte bean,0.1
went past,0.1
since area,0.1
product not,0.1
latte okay,0.1
having outlet,0.1
since friend,0.1
down drink,0.1
went two,0.1
hard come,0.1
wifi having,0.1
ago latte,0.1
yet another,0.1
saturday iced,0.1
industrial feel,0.1
iced mocha,0.1
iced latte,0.1
instance see,0.1
schedulethe only,0.1
ago location,0.1
time unfortunately,0.1
decided give,0.1
returning area,0.1
second time,0.1
craving decided,0.1
remake drink,0.1
see returning,0.1
time nothing,0.1
returning remake,0.1
come backthe,0.1
took not,0.1
let down,0.1
week friend,0.1
location ferry,0.1
friend tight,0.1
looked cute,0.1
time space,0.1
tight schedulethe,0.1
past week,0.1
very friendly,0.1
belief second,0.1
make hard,0.1
market saturday,0.1
outlet make,0.1
memorablei went,0.1
ordered iced,0.1
unfortunately been,0.1
literally tasted,0.1
friend since,0.1
great industrial,0.1
chocolate milk,0.1
another let,0.1
another shot,0.1
drink literally,0.1
plaza farmer,0.1
like chocolate,0.1
space great,0.1
drink since,0.1
area craving,0.1
area extremely,0.1
beyond belief,0.1
place another,0.1
nice not,0.105
really like,0.105
not care,0.10500000000000001
nice even,0.11
french fry,0.11
told chef,0.11
muffin delicate,0.11
fry not,0.11
new place,0.11
ton sesame,0.11
generous piece,0.11
nice generous,0.11
fried sandwich,0.11
toast something,0.11
fry fried,0.11
fry when,0.11
asianbakery style,0.11
minute patron,0.11
visit new,0.11
lot gluten,0.11
visit three,0.11
arrived french,0.11
great spot,0.11
waiter fry,0.11
green onion,0.11
waiter menu,0.11
appropriate especially,0.11
loved visit,0.11
like month,0.11
last visit,0.11
although find,0.11
larger muffin,0.11
kaya toast,0.11
itemsgyeranbbang savory,0.11
worked service,0.11
hub tried,0.11
actually flag,0.11
ignored fifteen,0.11
wanted like,0.11
month old,0.11
asked waiter,0.11
usual salad,0.11
gf menu,0.11
minute closing,0.11
tried cheater,0.11
tried kaya,0.11
tried twice,0.11
give place,0.11
given menu,0.11
twice cannot,0.11
gluten sweet,0.11
very appropriate,0.11
two gf,0.11
menu still,0.11
menu menu,0.11
menu itemsgyeranbbang,0.11
menu bit,0.11
menu arrived,0.11
good although,0.11
menu actually,0.11
unusual asianbakery,0.11
up minute,0.11
menu time,0.11
nice gluten,0.11
said salad,0.11
changed menu,0.11
super unusual,0.11
supposed eat,0.11
ordered croque,0.11
order taken,0.11
order served,0.11
cannot service,0.11
expecting order,0.11
sweet quite,0.11
quiet part,0.11
option super,0.11
quite fluffy,0.11
only like,0.11
spot worked,0.11
onion pastry,0.11
taken given,0.11
feel fry,0.11
sesame seed,0.11
bright space,0.11
service menu,0.11
old owner,0.11
breakfasti think,0.11
fifteen minute,0.11
cookie ton,0.11
breadbelly nice,0.11
deplorable time,0.11
bread thick,0.11
service deplorable,0.11
style two,0.11
tastingchoco sobako,0.11
even though,0.11
showed up,0.11
eat lot,0.11
chocolate not,0.11
piece big,0.11
egg green,0.11
chef changed,0.11
space quiet,0.11
cheater bite,0.11
something never,0.11
place think,0.11
stated menu,0.11
place tried,0.11
closing time,0.11
free option,0.11
drink order,0.11
patron seated,0.11
pastry thing,0.11
sobako cookie,0.11
pm hub,0.11
still not,0.11
still said,0.11
part richmond,0.11
down waiter,0.11
since not,0.11
probably still,0.11
especially breakfasti,0.11
owner nice,0.11
districtsuper friendly,0.11
overbearing chocolate,0.11
find bread,0.11
chocolate flavornice,0.11
richmond districtsuper,0.11
big larger,0.11
seed chocolate,0.11
sandwich very,0.11
not overbearing,0.11
not supposed,0.11
fluffy breadbelly,0.11
time croques,0.11
salad told,0.11
bite not,0.11
though showed,0.11
croque expecting,0.11
salad stated,0.11
savory egg,0.11
time pm,0.11
not usual,0.11
seated drink,0.11
thick last,0.11
thing nice,0.11
think great,0.11
three ordered,0.11
croques good,0.11
served salad,0.11
said only,0.11
delicate tastingchoco,0.11
salad probably,0.11
time seated,0.11
flag down,0.11
think said,0.11
seated ignored,0.11
flavornice bright,0.11
when asked,0.11249999999999999
definitely back,0.11499999999999999
shop owner,0.11499999999999999
not rush,0.11499999999999999
place come,0.11499999999999999
savory one,0.12
place always,0.12
light not,0.12
way obviously,0.12
snack meal,0.12
pot regular,0.12
way work,0.12
right place,0.12
spanish music,0.12
small drip,0.12
powering almond,0.12
speedier hayes,0.12
pick up,0.12
pretty awesome,0.12
sit work,0.12
spot free,0.12
price stated,0.12
snail pace,0.12
worker sort,0.12
seat not,0.12
light yummy,0.12
worth going,0.12
warm drink,0.12
sometimes bit,0.12
place sometimes,0.12
place next,0.12
sort standing,0.12
inefficient usually,0.12
rush still,0.12
world found,0.12
inspired honduran,0.12
watching staff,0.12
playing enough,0.12
place hereive,0.12
savory savory,0.12
like birthday,0.12
saw small,0.12
inside lucky,0.12
like forced,0.12
service cater,0.12
probably whyill,0.12
regular one,0.12
when only,0.12
wish sense,0.12
shop inspired,0.12
readwork time,0.12
shitty cashier,0.12
regular drip,0.12
share keep,0.12
when paid,0.12
when pay,0.12
shop shop,0.12
laptop stay,0.12
when saw,0.12
keep going,0.12
known specialty,0.12
when tip,0.12
really enjoyed,0.12
whileive been,0.12
keep half,0.12
sense urgency,0.12
whyill definitely,0.12
wifi find,0.12
when price,0.12
well even,0.12
when come,0.12
question taking,0.12
well regular,0.12
lavender latte,0.12
processed when,0.12
latte though,0.12
kind funny,0.12
sign table,0.12
work still,0.12
work snail,0.12
work noticed,0.12
latte huge,0.12
quickly added,0.12
showed pot,0.12
seating inside,0.12
put grounded,0.12
seating not,0.12
jargon gesture,0.12
wonderfully located,0.12
put lot,0.12
quality totally,0.12
see barista,0.12
later parking,0.12
joint cute,0.12
latte delicious,0.12
product convenience,0.12
time sign,0.12
like variety,0.12
not right,0.12
though many,0.12
most people,0.12
month way,0.12
not usually,0.12
money hand,0.12
not very,0.12
totally different,0.12
noticed staff,0.12
testament good,0.12
totally volunteer,0.12
touch shop,0.12
tough around,0.12
mistaken milk,0.12
obviously barista,0.12
ocean beach,0.12
treatment give,0.12
taste known,0.12
treatment when,0.12
mint only,0.12
taste def,0.12
one deserve,0.12
milk taste,0.12
taking star,0.12
one time,0.12
taking advantage,0.12
milk light,0.12
one toast,0.12
take away,0.12
said sure,0.12
not pay,0.12
today showed,0.12
toast sweet,0.12
time staying,0.12
nice natural,0.12
time not,0.12
nor get,0.12
time up,0.12
time world,0.12
time get,0.12
tip beginning,0.12
tip never,0.12
next time,0.12
next honey,0.12
tip nor,0.12
not comfortable,0.12
time confirm,0.12
only familiar,0.12
not fan,0.12
never happened,0.12
tip otherwise,0.12
tip see,0.12
toast seat,0.12
natural flavor,0.12
music playing,0.12
not hungry,0.12
not ideal,0.12
not jump,0.12
not loud,0.12
multiple time,0.12
not mistaken,0.12
much syrup,0.12
much speedier,0.12
not give,0.12
like taking,0.12
only happened,0.12
open not,0.12
lucky enough,0.12
still work,0.12
passing past,0.12
pastry question,0.12
love product,0.12
pastry stopped,0.12
love bottle,0.12
staying business,0.12
loud really,0.12
lot sweet,0.12
pay kind,0.12
pay probably,0.12
paying money,0.12
stay whileive,0.12
people bring,0.12
stated advance,0.12
people not,0.12
location keep,0.12
starbucks quality,0.12
star pastry,0.12
location compared,0.12
located grab,0.12
located front,0.12
volunteer jump,0.12
limited seating,0.12
star away,0.12
standing anybody,0.12
staff genuinely,0.12
staff frustratingly,0.12
macadamia not,0.12
still worth,0.12
make antsy,0.12
parking tough,0.12
syrup sweet,0.12
swiped card,0.12
sweet take,0.12
sweet savory,0.12
sweet put,0.12
type almond,0.12
typically able,0.12
sure quickly,0.12
unethical customer,0.12
otherwise get,0.12
outi tip,0.12
super comfortable,0.12
over powering,0.12
strolling ocean,0.12
table forbid,0.12
meal not,0.12
stroll beachthis,0.12
may not,0.12
may may,0.12
up strolling,0.12
stopped multiple,0.12
pace love,0.12
usually baristas,0.12
pace watching,0.12
usually when,0.12
valley one,0.12
many much,0.12
paid cashier,0.12
variety toast,0.12
making actual,0.12
up pace,0.12
able drink,0.12
yummy actually,0.12
ideal place,0.12
come testament,0.12
comfortable not,0.12
greeting different,0.12
comfortable sit,0.12
comment well,0.12
communicate when,0.12
compared much,0.12
confirm hoyt,0.12
give feeling,0.12
convenience location,0.12
cooky definitely,0.12
cool touch,0.12
crafted when,0.12
croissant well,0.12
cup latte,0.12
cup paying,0.12
great joint,0.12
customize drink,0.12
cute give,0.12
def check,0.12
definitely big,0.12
grounded mint,0.12
come readwork,0.12
come everyone,0.12
coffee spanish,0.12
bring laptop,0.12
heard not,0.12
business acting,0.12
hayes valley,0.12
having hard,0.12
hard time,0.12
card already,0.12
happened when,0.12
card card,0.12
happened every,0.12
great delicious,0.12
cashier baristas,0.12
cashier greeting,0.12
cashier may,0.12
cater taste,0.12
check place,0.12
hand crafted,0.12
chip cooky,0.12
chocolate latte,0.12
half later,0.12
coffee absolutely,0.12
coffee iced,0.12
cashier communicate,0.12
delicious huge,0.12
delicious pastry,0.12
deserve star,0.12
figure tip,0.12
find most,0.12
find spot,0.12
flavor nice,0.12
flavor specialty,0.12
flight coffee,0.12
forbid bring,0.12
forced tip,0.12
found right,0.12
good arethere,0.12
figure outi,0.12
front place,0.12
going really,0.12
fun cool,0.12
funny located,0.12
going enjoyed,0.12
genuinely make,0.12
gesture figure,0.12
get almond,0.12
get bad,0.12
get shitty,0.12
give double,0.12
frustratingly inefficient,0.12
bring computer,0.12
few month,0.12
fan location,0.12
different put,0.12
different way,0.12
double shot,0.12
grab warm,0.12
drink bite,0.12
drink good,0.12
drink type,0.12
drink typically,0.12
drip black,0.12
drip said,0.12
feeling having,0.12
dying come,0.12
enjoyed coffee,0.12
enjoyed seating,0.12
enough find,0.12
enough heard,0.12
enough share,0.12
espresso cup,0.12
even drink,0.12
even when,0.12
everyone dying,0.12
familiar starbucks,0.12
good snack,0.12
bring comment,0.12
give over,0.12
always heaving,0.12
arethere limited,0.12
been passing,0.12
birthday latte,0.12
away unethical,0.12
bill swiped,0.12
barista figure,0.12
big enough,0.12
awesome light,0.12
baristas jargon,0.12
advance however,0.12
honey lavender,0.12
back one,0.12
baristas making,0.12
advantage customer,0.12
beachthis place,0.12
hungry come,0.12
back next,0.12
beginning when,0.12
huge chocolate,0.12
huge customize,0.12
however felt,0.12
already processed,0.12
honduran coffee,0.12
anybody bring,0.12
almond macadamia,0.12
added bill,0.12
barista cashier,0.12
bit feel,0.12
bite stroll,0.12
around open,0.12
heaving when,0.12
help pick,0.12
iced not,0.12
asked today,0.12
help worker,0.12
amazing fun,0.12
absolutely amazing,0.12
actually pretty,0.12
bottle not,0.12
hoyt chocolate,0.12
been few,0.12
black cup,0.12
antsy totally,0.12
hereive been,0.12
acting desperate,0.12
actual cashier,0.12
bad not,0.12
away flavor,0.12
customer service,0.12000000000000001
like shop,0.125
right away,0.125
came sunday,0.125
place make,0.125
around pm,0.125
chocolate chip,0.125
not even,0.125
place order,0.125
pretty good,0.126
good not,0.12666666666666665
amazing come,0.13
parking available,0.13
